#     _____   ______   ______   _____   _   _   ______   _  __      __          __  _    _   _____   _______   ______   _        _____    _____   _______
#    / ____| |  ____| |  ____| |_   _| | \ | | |  ____| | |/ /      \ \        / / | |  | | |_   _| |__   __| |  ____| | |      |_   _|  / ____| |__   __|
#   | (___   | |__    | |__      | |   |  \| | | |__    | ' /        \ \  /\  / /  | |__| |   | |      | |    | |__    | |        | |   | (___      | |
#    \___ \  |  __|   |  __|     | |   | . ` | |  __|   |  <          \ \/  \/ /   |  __  |   | |      | |    |  __|   | |        | |    \___ \     | |
#    ____) | | |____  | |       _| |_  | |\  | | |____  | . \          \  /\  /    | |  | |  _| |_     | |    | |____  | |____   _| |_   ____) |    | |
#   |_____/  |______| |_|      |_____| |_| \_| |______| |_|\_\          \/  \/     |_|  |_| |_____|    |_|    |______| |______| |_____| |_____/     |_|
#
#                   This file belongs to Sefinek's Blocklist Collection, which is curated and maintained by: github.com/sefinek
#
#  In case of encountering false positives, we encourage adding such exceptions to the whitelist.
#  To ensure a smooth and efficient process, adherence to the required format when submitting a Pull Request is mandatory.
#  The format necessitates including the domain name followed by the path to the file where the false positive was detected.
#
# - Example:
#   # Spotify (music streaming)
#   open.spotify.com apps/discord.txt
#
# - In certain instances, you can also explain why you chose to add the domain/subdomain here:
#   # TheAnnoyingSite (this page is actually a meme and is entirely safe)
#   theannoyingsite.com other/StevenBlack/fakenews-gambling-porn.fork.txt
#
# Last update       : 12.09.2024 [DD.MM.YYYY]
# Author            : Sefinek (https://sefinek.net) <contact@sefinek.net>
# License           : GNU General Public License v3.0
# GitHub repository : https://github.com/sefinek/Sefinek-Blocklist-Collection
#
# -----------------------------------------------------------------------------------------------------------------------------------------------------------------

# Discord (chat)
email.mg.outbyte.com malicious/RPiList/Malware.fork.txt
outbyte.com malicious/DandelionSprout-AntiMalwareHosts.fork.txt
outbyte.com malicious/RPiList/Malware.fork.txt

# Chomikuj.pl (Polish file hosting service)
chomikuj.pl other/StevenBlack/fakenews-gambling-porn.fork.txt
chomikuj.pl porn/4skinSkywalker/hosts.fork.txt
chomikuj.pl porn/Sinfonietta/pornography-hosts.fork.txt
chomikuj.pl porn/StevenBlack/porn.fork.txt
s6704.chomikuj.pl abuse/blocklistproject/hosts.fork.txt
s6704.chomikuj.pl malicious/blocklistproject/malware.fork.txt
s72.chomikuj.pl abuse/blocklistproject/hosts.fork.txt
s72.chomikuj.pl malicious/blocklistproject/malware.fork.txt
s8802.chomikuj.pl abuse/blocklistproject/hosts.fork.txt
s8802.chomikuj.pl malicious/blocklistproject/malware.fork.txt

# Pixalate
pixalate.com ads/ShadowWhisperer/Ads.fork.txt

# 2IP (Russian IP address lookup service)
2ip.io malicious/RPiList/Malware.fork.txt

# Cedexis (content delivery network)
cedexis.net ads/ShadowWhisperer/Ads.fork.txt

# Zapier (automation tool)
email.mail.zapier.com ads/jerryn70/GoodbyeAds.fork.txt
email.mail.zapier.com malicious/RPiList/Malware.fork.txt

# Wordpress (blogging platform) & Gravatar (avatar service)
s0.wp.com porn/4skinSkywalker/hosts.fork.txt

# Mailgun (email service)
mailgun.org malicious/RPiList/Malware.fork.txt

# Sirus (Private server of World of Warcraft)
sirus.su abuse/blocklistproject/hosts.fork.txt
sirus.su malicious/blocklistproject/malware.fork.txt
www.sirus.su abuse/blocklistproject/hosts.fork.txt
www.sirus.su malicious/blocklistproject/malware.fork.txt

# PostIMG (image hosting)
postimg.cc gambling/TrustPositif/gambling-indonesia.fork.txt

# ImgBB (image hosting)
i.ibb.co gambling/TrustPositif/gambling-indonesia.fork.txt

# Customer.io (email service)
e.customeriomail.com ads/jerryn70/GoodbyeAds.fork.txt
e.customeriomail.com malicious/RPiList/Malware.fork.txt

# MyWOT (Web of Trust)
mywot.com other/StevenBlack/fakenews-gambling-porn.fork.txt
mywot.com porn/4skinSkywalker/hosts.fork.txt
www.mywot.com other/StevenBlack/fakenews-gambling-porn.fork.txt
www.mywot.com porn/4skinSkywalker/hosts.fork.txt

# IPQualityScore (IP address lookup service)
ipqualityscore.com ads/blocklistproject/hosts.fork.txt
www.ipqualityscore.com ads/blocklistproject/hosts.fork.txt

# IPify (IP address lookup service)
api.ipify.org ads/blocklistproject/hosts.fork.txt
ipify.org ads/blocklistproject/hosts.fork.txt
www.ipify.org ads/blocklistproject/hosts.fork.txt

# HH.ru (Russian job search engine)
api.hh.ru ads/blocklistproject/hosts.fork.txt

# Fossa (open-source license compliance software)
go.fossa.com malicious/RPiList/Malware.fork.txt

# AdTidy (email service)
email-link.adtidy.org ads/yoyo/ads-trackers-etc.fork.txt

# Webparanoid tool protects against online scams and phishing
webparanoid.com gambling/TrustPositif/gambling-indonesia.fork.txt

# Cookie law (cookie consent solution)
cdn.cookielaw.org other/polish-blocklists/MajkiIT/hostfile.fork.txt

# Semrush
semrush.com ads/blocklistproject/hosts.fork.txt
www.semrush.com ads/blocklistproject/hosts.fork.txt

# 9gag.com
9gag.com porn/4skinSkywalker/hosts.fork.txt
www.9gag.com porn/4skinSkywalker/hosts.fork.txt

# Twitter CDN
ton.twimg.com ads/ShadowWhisperer/Ads.fork.txt

# Patreon
email.mailgun.patreon.com ads/jerryn70/GoodbyeAds.fork.txt
c6.patreon.com ads/ShadowWhisperer/Ads.fork.txt

# DiscordServers
discordservers.com phishing/Dogino/Discord-Phishing-URLs-phishing.fork.txt
discordservers.com scam/Dogino/Discord-Phishing-URLs-scam.fork.txt

# MSI
storage-asset.msi.com gambling/TrustPositif/gambling-indonesia.fork.txt

# gethatch.com
gethatch.com ads/ShadowWhisperer/Ads.fork.txt

# Blocking this subdomain will prevent the Strinova game from being downloaded (https://www.strinova.com/?lang=en-US).
engagements.appsflyer.com ads/firebog/AdguardDNS.fork.txt

# Chat
embed.tawk.to ads/blocklistproject/hosts.fork.txt
va.tawk.to abuse/blocklistproject/hosts.fork.txt
va.tawk.to ads/blocklistproject/hosts.fork.txt
va.tawk.to malicious/blocklistproject/malware.fork.txt

# ip2location.com
ip2location.com ads/blocklistproject/hosts.fork.txt

# MIUI
api.sec.intl.miui.com ads/blocklistproject/hosts.fork.txt
